Name,Brand,Model,Socket,Chipset,Form Factor,Memory Type,RAM Slots,Max RAM,ECC Support,PCIe x16 Slots,PCIe x4 Slots,PCIe x1 Slots,M.2 Ports,M.2 Support,SATA Ports,SATA Express Ports,Audio Chipset,Audio Channels,LAN Chipset,Wireless LAN,Wi-Fi Generation,USB 2.0 Headers,USB 3.2 Gen1 Headers,USB 3.2 Gen2 Headers,USB 3.2 Gen2x2 Headers,SLI Support,CrossFire Support,RAID Support,Back Connect,Release Date,Price,Rating,Reviews,Availability,List_Price,URL,Product_ID,Page
ASUS ROG MAXIMUS Z890 EXTREME,Asus,ROG MAXIMUS Z890 EXTREME90MB1IA0-M0AAY0,LGA1851,Intel Z890,Atx,,4,192 GB,No,2,1,0,6,2242 / 2260 / 2280 / 22110 - M Key2242 / 2260 / 2280 - M Key2242 / 2260 / 2280 / 22110 - M Key2242 / 2260 / 2280 - M Key2230 / 2242 / 2260 / 2280 / 22110 - M Key2230 / 2242 / 2260 / 2280 / 22110 - E Key,4,0,,7.1 Channels,,Yes,7,2,2,1,,No,No,Yes,No,"October 2024* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$1000,https://pangoly.com/en/product/asus-rog-maximus-z890-extreme,7287bb52-5026-4809-d5a5-08dcd267c54e,12
Gigabyte Z890M GAMING X,Gigabyte,Z890M GAMING X,LGA1851,Intel Z890,Atx,,4,256 GB,No,2,0,0,3,2580 - M Key2580 - M Key2280 / 25110 - M Key,4,0,,7.1 Channels,,No,,2,1,0,,No,No,Yes,No,"October 2024* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,45,In Stock,$160,https://pangoly.com/en/product/gigabyte-z890m-gaming-x,0b6e433e-f36b-1410-8be5-003fe7c988bc,12
ASRock Z890 Pro RS,Asrock,Z890 Pro RS,LGA1851,Dragon RTL8125BG,Atx,,4,256 GB,No,1,2,1,5,2280 - M Key2280 - M Key2280 - M Key2230 / 2242 / 2260 / 2280 - M Key2230 - E Key,4,0,,7.1 CH HD AudioNahimic Audio,,No,,2,2,1,,No,No,No,No,"October 2024* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$170,https://pangoly.com/en/product/asrock-z890-pro-rs,24b2bb07-1b6d-476e-d5af-08dcd267c54e,12
ASRock Z890 Pro RS WiFi,Asrock,Z890 Pro RS WiFi,LGA1851,Dragon RTL8125BG,Atx,,4,256 GB,No,1,2,1,5,2280 - M Key2280 - M Key2280 - M Key2230 / 2242 / 2260 / 2280 - M Key2230 - E Key,4,0,,7.1 CH HD AudioNahimic Audio,,Yes,6E,2,2,1,,No,No,Yes,No,"October 2024* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$180,https://pangoly.com/en/product/asrock-z890-pro-rs-wifi,ca7f168d-acd0-49e7-d5b4-08dcd267c54e,12
MSI Z890 GAMING PLUS WIFI,Msi,Z890 GAMING PLUS WIFI,LGA1851,Killer E5000B-CG,Atx,,4,256 GB,No,3,0,1,4,2260 / 2280 - M Key2260 / 2280 / 22110 - M Key2242 / 2260 / 2280 - M Key2242 / 2260 / 2280 - M Key,4,0,,7.1 Channels,,Yes,7,2,2,1,,No,No,Yes,No,"October 2024* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$180,https://pangoly.com/en/product/msi-z890-gaming-plus-wifi,fa6d433e-f36b-1410-8be5-003fe7c988bc,12
ASRock Z890M Riptide WiFi,Asrock,Z890M Riptide WiFi,LGA1851,Killer E3100G,Atx,,4,256 GB,No,1,0,0,4,2280 - M Key2280 - M Key2280 - M Key2230 - E Key,4,0,,7.1 CH HD AudioNahimic Audio,,Yes,6E,2,1,1,,No,No,Yes,No,"October 2024* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$190,https://pangoly.com/en/product/asrock-z890m-riptide-wifi,23a72110-fa58-4227-d5a3-08dcd267c54e,12
ASRock Z890 Pro-A,Asrock,Z890 Pro-A,LGA1851,Dragon RTL8125BG,Atx,,4,256 GB,No,1,2,1,5,2280 - M Key2280 - M Key2280 - M Key2230 / 2242 / 2260 / 2280 - M Key2230 - E Key,4,0,,7.1 Channels,,No,,2,2,1,,No,No,Yes,No,"October 2024* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$190,https://pangoly.com/en/product/asrock-z890-pro-a,69cbb334-5ee8-4e7d-d5a8-08dcd267c54e,12
MSI PRO Z890-A WIFI,Msi,PRO Z890-A WIFI,LGA1851,RTL8126-VB-CG,Atx,,4,256 GB,No,3,0,0,4,2260 / 2280 - M Key2260 / 2280 / 22110 - M Key2242 / 2260 / 2280 - M Key2242 / 2260 / 2280 - M Key,4,0,,7.1 Channels,,Yes,7,2,1,1,,No,No,Yes,No,"October 2024* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$190,https://pangoly.com/en/product/msi-pro-z890-a-wifi,656e433e-f36b-1410-8be5-003fe7c988bc,12
MSI PRO Z890-S WIFI WHITE,Msi,PRO Z890-S WIFI WHITE,LGA1851,Intel Z890,Atx,,4,256 GB,No,4,0,0,3,2242 / 2260 / 2280 - M Key2242 / 2260 / 2280 - M Key2242 / 2260 / 2280 - M Key,4,0,,,,Yes,7,2,1,1,,No,No,Yes,No,"October 2024* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$200,https://pangoly.com/en/product/msi-pro-z890-s-wifi-white,caf5423e-f36b-1410-8bed-003fe7c988bc,13
ASRock Z890 Riptide WiFi,Asrock,Z890 Riptide WiFi,LGA1851,Killer E3100G,Atx,,4,256 GB,No,2,0,1,6,2280 - M Key2280 - M Key2280 - M Key2280 - M Key2230 / 2242 / 2260 / 2280 - M Key2230 - E Key,4,0,,7.1 CH HD Audio with Content ProtectionImpedance Sensing on Rear Out portIndividual PCB Layers for R/L Audio ChannelNahimic Audio,,Yes,7,2,2,1,,No,No,Yes,No,"October 2024* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$200,https://pangoly.com/en/product/asrock-z890-riptide-wifi,e06e433e-f36b-1410-8be5-003fe7c988bc,13
ASRock Z890 Pro-A WiFi,Asrock,Z890 Pro-A WiFi,LGA1851,Dragon RTL8125BG,Atx,,4,256 GB,No,1,2,1,5,2280 - M Key2280 - M Key2280 - M Key2230 / 2242 / 2260 / 2280 - M Key2230 - E Key,4,0,,7.1 Channels,,Yes,6E,2,2,1,,No,No,No,No,"October 2024* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$200,https://pangoly.com/en/product/asrock-z890-pro-a-wifi,2b6e433e-f36b-1410-8be5-003fe7c988bc,13
ASRock Z890 Pro RS WiFi White,Asrock,Z890 Pro RS WiFi White,LGA1851,Dragon RTL8125BG,Atx,,4,256 GB,No,1,2,1,5,2280 - M Key2280 - M Key2280 - M Key2230 / 2242 / 2260 / 2280 - M Key2230 - E Key,4,0,,7.1 CH HD AudioNahimic Audio,,Yes,6E,2,1,1,,No,No,Yes,No,"October 2024* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$205,https://pangoly.com/en/product/asrock-z890-pro-rs-wifi-white,6e9df92f-765a-4c3d-d5b1-08dcd267c54e,13
Asus Z890 AYW GAMING WIFI W,Asus,Z890 AYW GAMING WIFI W90MB1I60-M0AAY0,LGA1851,Intel Z890,Atx,,4,192 GB,No,4,0,0,4,2280 / 22110 - M Key2280 - M Key2280 / 22110 - M Key2280 - M Key,4,0,,Realtek 7.1 Surround Sound High Definition Audio CODEC,,Yes,6,2,2,1,,No,No,Yes,No,"October 2024* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,39,In Stock,$219,https://pangoly.com/en/product/asus-z890-ayw-gaming-wifi-w,1e6f433e-f36b-1410-8be5-003fe7c988bc,13
Asus PRIME Z890M-PLUS WIFI,Asus,PRIME Z890M-PLUS WIFI90MB1J80-M0AAY0,LGA1851,Intel Z890,Atx,,4,192 GB,No,4,0,0,3,2280 - M Key2280 - M Key2280 - M Key,6,0,,7.1 Channels,,Yes,7,2,1,0,,No,No,Yes,No,"October 2024* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$219,https://pangoly.com/en/product/asus-prime-z890m-plus-wifi,4c6e433e-f36b-1410-8be5-003fe7c988bc,13
MSI PRO Z890-S WIFI,Msi,PRO Z890-S WIFI,LGA1851,RTL8125D-CG,Atx,,4,256 GB,No,4,0,0,3,2242 / 2260 / 2280 - M Key2242 / 2260 / 2280 - M Key2242 / 2260 / 2280 - M Key,4,0,,8 Channels,,Yes,7,2,1,1,,No,No,Yes,No,"October 2024* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,21,In Stock,$230,https://pangoly.com/en/product/msi-pro-z890-s-wifi,d16e433e-f36b-1410-8be5-003fe7c988bc,13
MSI PRO Z890-P WIFI,Msi,PRO Z890-P WIFI,LGA1851,RTL8126-VB-CG,Atx,,4,256 GB,No,3,0,1,4,2260 / 2280 - M Key2260 / 2280 / 22110 - M Key2242 / 2260 / 2280 - M Key2242 / 2260 / 2280 - M Key,4,0,,7.1 Channels,,Yes,7,2,2,0,,No,No,Yes,No,"October 2024* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$238,https://pangoly.com/en/product/msi-pro-z890-p-wifi,336e433e-f36b-1410-8be5-003fe7c988bc,13
ASRock Z890 LiveMixer WiFi,Asrock,Z890 LiveMixer WiFiZ890 Live Mixer WiFi,LGA1851,Dragon RTL8125BG,Atx,,4,256 GB,No,3,0,0,5,2280 - M Key2280 - M Key2230 / 2242 / 2260 / 2280 - M Key2280 - M Key2230 - E Key,4,0,,7.1 CH HD Audio with Content ProtectionImpedance Sensing on Rear Out portIndividual PCB Layers for R/L Audio ChannelNahimic Audio,,Yes,7,2,2,1,,No,No,Yes,No,"October 2024* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$240,https://pangoly.com/en/product/asrock-z890-livemixer-wifi,797098bb-1ec4-48ea-d5aa-08dcd267c54e,13
Gigabyte Z890M AORUS ELITE WIFI7,Gigabyte,Z890M AORUS ELITE WIFI7Z890M A ELITE WIFI7,LGA1851,Intel Z890,Atx,,4,256 GB,No,2,0,0,3,2580 - M Key2580 - M Key2280 / 25110 - M Key,4,0,,7.1 Channels,,Yes,7,2,1,0,,No,No,Yes,No,"October 2024* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$240,https://pangoly.com/en/product/gigabyte-z890m-aorus-elite-wifi7,c36e433e-f36b-1410-8be5-003fe7c988bc,13
ASRock Z890 Steel Legend WiFi,Asrock,Z890 Steel Legend WiFi,LGA1851,Dragon RTL8125BG,Atx,,4,256 GB,No,2,1,0,5,2280 - M Key2280 - M Key2280 - M Key2230 / 2242 / 2260 / 2280 - M Key2230 - E Key,4,0,,7.1 CH HD Audio with Content ProtectionImpedance Sensing on Rear Out portIndividual PCB Layers for R/L Audio ChannelNahimic Audio,,Yes,7,2,2,1,,No,No,Yes,No,"October 2024* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$246,https://pangoly.com/en/product/asrock-z890-steel-legend-wifi,5a348c40-0343-4572-d5b3-08dcd267c54e,13
MSI MAG Z890 TOMAHAWK WIFI,Msi,MAG Z890 TOMAHAWK WIFI,LGA1851,Killer E5000B-CG,Atx,,4,256 GB,No,3,0,0,4,2260 / 2280 - M Key2260 / 2280 / 22110 - M Key2242 / 2260 / 2280 - M Key2242 / 2260 / 2280 - M Key,4,0,,8 Channels,,Yes,7,2,1,1,,No,No,Yes,No,"October 2024* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$260,https://pangoly.com/en/product/msi-mag-z890-tomahawk-wifi,cd6d433e-f36b-1410-8be5-003fe7c988bc,13
ASRock Z890I Nova WiFi,Asrock,Z890I Nova WiFi,LGA1851,Realtek RTL8126CG,Mini Itx,,2,128 GB,No,1,0,0,4,2280 - M Key2280 - M Key2280 - M Key2230 - E Key,2,0,,7.1 CH HD Audio with Content ProtectionNahimic Audio,,Yes,7,1,1,1,,No,No,Yes,No,"October 2024* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$268,https://pangoly.com/en/product/asrock-z890i-nova-wifi,df6d433e-f36b-1410-8be5-003fe7c988bc,14
ASRock Z890 Lightning WiFi,Asrock,Z890 Lightning WiFi,LGA1851,Killer E3100G,Atx,,4,256 GB,No,2,1,0,5,2280 - M Key2280 - M Key2280 - M Key2230 / 2242 / 2260 / 2280 - M Key2230 - E Key,4,0,,7.1 CH HD Audio with Content ProtectionImpedance Sensing on Rear Out portIndividual PCB Layers for R/L Audio ChannelNahimic Audio,,Yes,7,2,2,1,,No,No,Yes,No,"October 2024* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$270,https://pangoly.com/en/product/asrock-z890-lightning-wifi,5e3ed962-5357-483f-d5b0-08dcd267c54e,14
Gigabyte Z890 AERO G,Gigabyte,Z890 AERO G,LGA1851,Intel Z890,Atx,,4,256 GB,No,3,0,0,5,2280 / 25110 - M Key2280 / 25110 - M Key2280 / 22110 - M Key2280 - M Key2280 - M Key,4,0,,7.1 Channels,,Yes,7,2,1,1,,No,No,Yes,No,"October 2024* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$300,https://pangoly.com/en/product/gigabyte-z890-aero-g,b46e433e-f36b-1410-8be5-003fe7c988bc,14
MSI MPG Z890 EDGE TI WIFI,Msi,MPG Z890 EDGE TI WIFI7E19-001R,LGA1851,Intel Z890,Atx,,4,256 GB,No,2,0,1,5,2260 / 2280 - M Key2260 / 2280 - M Key2260 / 2280 - M Key2280 / 22110 - M Key2260 / 2280 / 22110 - M Key,4,0,,,,Yes,7,2,1,1,,No,No,Yes,No,"October 2024* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$300,https://pangoly.com/en/product/msi-mpg-z890-edge-ti-wifi,e98a433e-f36b-1410-8be8-003fe7c988bc,14
Asus ROG STRIX Z890-F GAMING WIFI,Asus,ROG STRIX Z890-F GAMING WIFI90MB1I40-M0AAY0,LGA1851,Intel Z890,Atx,,4,192 GB,No,2,0,0,5,2242 / 2260 / 2280 / 22110 - M Key2280 - M Key2280 - M Key2280 / 22110 - M Key2242 / 2260 / 2280 - M Key,4,0,,,,Yes,7,2,2,1,,No,No,Yes,No,"October 2024* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$340,https://pangoly.com/en/product/asus-rog-strix-z890-f-gaming-wifi,096f433e-f36b-1410-8be5-003fe7c988bc,14
ASRock Z890 Nova WiFi,Asrock,Z890 Nova WiFi,LGA1851,Realtek RTL8126,Atx,,4,256 GB,No,2,0,0,7,2280 - M Key2260 / 2280 - M Key2230 / 2242 / 2260 / 2280 - M Key2260 / 2280 - M Key2260 / 2280 - M Key2260 / 2280 - M Key2230 - E Key,4,0,,7.1 CH HD Audio with Content ProtectionIndividual PCB Layers for R/L Audio ChannelImpedance Sensing on Rear Out portNahimic Audio,,Yes,7,2,2,1,,No,No,Yes,No,"October 2024* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$350,https://pangoly.com/en/product/asrock-z890-nova-wifi,8f6e433e-f36b-1410-8be5-003fe7c988bc,14
ASRock Z890 Taichi,Asrock,,,,Atx,,,,,,,,,,,,,,,,,,,,,,,,,,$96,5/5,0,In Stock,$350,https://pangoly.com/en/product/asrock-z890-taichi,b96e433e-f36b-1410-8be5-003fe7c988bc,14
MSI MPG Z890 CARBON WIFI,Msi,MPG Z890 CARBON WIFI,LGA1851,Intel I226-V,Atx,,4,256 GB,No,3,0,0,5,2260 / 2280 - M Key2260 / 2280 - M Key2260 / 2280 - M Key2260 / 2280 / 22110 - M Key2260 / 2280 - M Key,4,0,,,,Yes,7,2,2,1,,No,No,No,No,"October 2024* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$350,https://pangoly.com/en/product/msi-mpg-z890-carbon-wifi,d26d433e-f36b-1410-8be5-003fe7c988bc,14
ASRock Z890 Taichi OCF,Asrock,Z890 Taichi OCF,LGA1851,Realtek RTL8126,Atx,,2,128 GB,No,2,1,0,7,2280 - M Key2280 - M Key2260 / 2280 - M Key2260 / 2280 - M Key2260 / 2280 - M Key2260 / 2280 - M KeyE-key - E Key,4,0,,7.1 CH HD Audio with Content ProtectionNahimic Audio,,Yes,7,1,2,1,,No,No,Yes,No,"October 2024* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$400,https://pangoly.com/en/product/asrock-z890-taichi-ocf,706e433e-f36b-1410-8be5-003fe7c988bc,14
ASRock Z890 Taichi Lite,Asrock,,,,Atx,,,,,,,,,,,,,,,,,,,,,,,,,,$96,5/5,0,In Stock,$431,https://pangoly.com/en/product/asrock-z890-taichi-lite,d96e433e-f36b-1410-8be5-003fe7c988bc,14
GIGABYTE Z890 AI TOP,Gigabyte,Z890 AI TOP,LGA1851,Intel Z890,Atx,,4,256 GB,No,3,0,0,4,2280 / 25110 - M Key2280 / 25110 - M Key2280 / 22110 - M Key2280 / 22110 - M Key,8,0,,,,Yes,7,2,2,2,,No,No,Yes,No,"October 2024* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$480,https://pangoly.com/en/product/gigabyte-z890-ai-top,a96e433e-f36b-1410-8be5-003fe7c988bc,14
Asus ProArt Z890-CREATOR WIFI,Asus,ProArt Z890-CREATOR WIFI90MB1JD0-M0AAY0,LGA1851,Realtek ALC1220P,Atx,,4,256 GB,No,3,0,0,5,2242 / 2260 / 2280 / 22110 - M Key2242 / 2260 / 2280 - M Key2242 / 2260 / 2280 - M Key2242 / 2260 / 2280 - M Key2242 / 2260 / 2280 - M Key,4,0,,Realtek ALC1220P 7.1 Surround Sound High Definition Audio CODEC,,Yes,7,1,1,1,,No,No,No,No,"October 2024* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,2,In Stock,$490,https://pangoly.com/en/product/asus-proart-z890-creator-wifi,f16d433e-f36b-1410-8be5-003fe7c988bc,14
Gigabyte Z890 AORUS MASTER AI TOP,Gigabyte,Z890 AORUS MASTER AI TOPZ890 A MASTER AI TOP,LGA1851,Intel Z890,Atx,,4,256 GB,No,3,0,0,4,2280 / 25110 - M Key2280 / 22110 - M Key2280 / 22110 - M Key2280 / 22110 - M Key,4,0,,,,Yes,7,2,2,1,,No,No,Yes,No,"October 2024* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$590,https://pangoly.com/en/product/gigabyte-z890-aorus-master-ai-top,ec6e433e-f36b-1410-8be5-003fe7c988bc,15
MSI MEG Z890 UNIFY-X,Msi,MEG Z890 UNIFY-X,LGA1851,Intel Killer E5000B,Atx,,2,128 GB,No,3,0,1,6,2260 / 2280 - M Key2260 / 2280 - M Key2260 / 2280 - M Key2260 / 2280 / 22110 - M Key2260 / 2280 - M Key2260 / 2280 - M Key,6,0,,7.1-Channel USB High-Performance AudioSupports S/PDIF outputSupports up to 32-Bit/384 kHz playback on front panel,,Yes,7,2,2,1,,No,No,Yes,No,"October 2024* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$600,https://pangoly.com/en/product/msi-meg-z890-unify-x,9f6e433e-f36b-1410-8be5-003fe7c988bc,15
MSI MEG Z890 ACE,Msi,MEG Z890 ACE,LGA1851,AQC113CS,Atx,,4,256 GB,No,3,0,0,5,2260 / 2280 - M Key2260 / 2280 - M Key2260 / 2280 - M Key2280 / 22110 - M Key2260 / 2280 - M Key,4,0,,8 Channels,,Yes,7,2,2,1,,No,No,Yes,No,"October 2024* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$637,https://pangoly.com/en/product/msi-meg-z890-ace,e46d433e-f36b-1410-8be5-003fe7c988bc,15
ASRock Z890 Taichi Aqua,Asrock,Z890 Taichi AQUA,LGA1851,Intel Z890,Atx,,4,256 GB,No,3,0,0,6,2280 - M Key2280 - M Key2280 - M Key2280 - M Key2280 - M Key2242 / 2260 / 2280 - M Key,4,0,,5.1 Channels,,Yes,7,2,2,2,,No,Yes,No,No,"October 2024* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$800,https://pangoly.com/en/product/asrock-z890-taichi-aqua,d18f3b20-2522-4600-d5dd-08dcd267c54e,15
Gigabyte Z890 AORUS XTREME AI TOP,Gigabyte,Z890 AORUS XTREME AI TOPZ890 A XTREME AI TOP,LGA1851,Intel Z890,Atx,,4,256 GB,No,3,0,0,4,2280 / 25110 - M Key2280 / 25110 - M Key2280 / 22110 - M Key2280 / 22110 - M Key,4,0,,,,Yes,7,2,1,2,,No,No,Yes,No,"October 2024* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$880,https://pangoly.com/en/product/gigabyte-z890-aorus-xtreme-ai-top,566e433e-f36b-1410-8be5-003fe7c988bc,15
MSI MEG Z890 GODLIKE,Msi,MEG Z890 GODLIKE,LGA1851,Marvell AQC113CS,Atx,,4,256 GB,No,2,1,0,6,2260 / 2280 - M Key2260 / 2280 - M Key2260 / 2280 - M Key2280 / 22110 - M Key2260 / 2280 - M Key2242 / 2280 - M Key,4,0,,7.1-Channel USB High-Performance AudioSupports S/PDIF outputSupports up to 32-Bit/384 kHz playback on front panel,,Yes,7,2,2,1,,No,No,Yes,No,"October 2024* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,1,In Stock,$1000,https://pangoly.com/en/product/msi-meg-z890-godlike,206e433e-f36b-1410-8be5-003fe7c988bc,15
Gigabyte Z890 AERO D,Gigabyte,Z890 AERO D,LGA1851,Intel Z890,Atx,,4,256 GB,No,3,0,0,4,2280 / 25110 - M Key2280 / 25110 - M Key2280 / 22110 - M Key2280 / 22110 - M Key,8,0,,,,Yes,7,2,2,2,,No,No,Yes,No,"October 2024* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$1091,https://pangoly.com/en/product/gigabyte-z890-aero-d,c3f5423e-f36b-1410-8bed-003fe7c988bc,15
Asus PRIME Z890-P,Asus,PRIME Z890-P90MB1I50-M0EAY0,LGA1851,Intel Z890,Atx,,4,192 GB,No,4,0,0,4,2280 / 22110 - M Key2280 - M Key2280 / 22110 - M Key2242 / 2260 / 2280 - M Key,4,0,,,,No,,2,2,0,,No,No,Yes,No,"October 2024* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,Out of Stock,$378,https://pangoly.com/en/product/asus-prime-z890-p,006f433e-f36b-1410-8be5-003fe7c988bc,15
Asrock B760M Pro RS WiFi White,Asrock,B760M Pro RS WiFi White,LGA1700,B760,Atx,,4,192 GB,No,2,0,0,4,2242 / 2260 / 2280 - M Key2280 - M Key2280 - M Key2230 - E Key,4,0,,,,Yes,6E,2,1,0,,No,Yes,Yes,No,"October 2024* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$150,https://pangoly.com/en/product/asrock-b760m-pro-rs-wifi-white,91ab650e-6f17-4e6b-9d4b-08dd9f4ddeee,15
GIGABYTE X870 Gaming WIFI6,Gigabyte,,AM5,,Atx,,,,,,,,,,,,,,,,,,,,,,,,,,$96,5/5,0,In Stock,$190,https://pangoly.com/en/product/gigabyte-x870-gaming-wifi6,2919aa69-a0d5-4bed-714a-08dd04a9149f,15
GIGABYTE X870 Eagle WIFI7,Gigabyte,,AM5,,Atx,,,,,,,,,,,,,,,,,,,,,,,,,,$96,5/5,0,In Stock,$200,https://pangoly.com/en/product/gigabyte-x870-eagle-wifi7,755fec71-2583-4cfc-d548-08dcd267c54e,15
GIGABYTE X870 Gaming X WIFI7,Gigabyte,,AM5,,Atx,,,,,,,,,,,,,,,,,,,,,,,,,,$96,5/5,0,In Stock,$220,https://pangoly.com/en/product/gigabyte-x870-gaming-x-wifi7,fff846d1-43e3-4357-d54e-08dcd267c54e,15
MSI PRO X870-P WiFi,Msi,PRO X870-P WIFI7E47-001R,AM5,Realtek 8126VB,Atx,,4,256 GB,No,4,0,0,3,2260 / 2280 - M Key2280 / 22110 - M Key2260 / 2280 - M Key,4,0,,7.1 Channels,,Yes,7,2,1,0,,No,No,Yes,No,"September 2024* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,2,In Stock,$229,https://pangoly.com/en/product/msi-pro-x870-p-wifi,260a6efb-2a4a-41b0-d54c-08dcd267c54e,16
ASUS Prime X870-P WiFi,Asus,,AM5,,Atx,,,,,,,,,,,,,,,,,,,,,,,,,,$96,5/5,0,In Stock,$230,https://pangoly.com/en/product/asus-prime-x870-p-wifi,7b8b3e1d-8093-49cd-d550-08dcd267c54e,16
ASUS TUF Gaming X870-PLUS WiFi,Asus,,AM5,,Atx,,,,,,,,,,,,,,,,,,,,,,,,,,$96,5/5,0,In Stock,$260,https://pangoly.com/en/product/asus-tuf-gaming-x870-plus-wifi,ac53bf67-64e9-47ad-d54b-08dcd267c54e,16
MSI MAG X870 Tomahawk WiFi,Msi,,AM5,,Atx,,,,,,,,,,,,,,,,,,,,,,,,,,$96,5/5,4,In Stock,$260,https://pangoly.com/en/product/msi-mag-x870-tomahawk-wifi,2e3bde11-ea3b-414b-d546-08dcd267c54e,16
GIGABYTE X870 AORUS Elite WIFI7,Gigabyte,,AM5,,Atx,,,,,,,,,,,,,,,,,,,,,,,,,,$96,5/5,0,In Stock,$269,https://pangoly.com/en/product/gigabyte-x870-aorus-elite-wifi7,331d6685-e113-44ba-d545-08dcd267c54e,16
ASUS ROG Strix X870-A Gaming WiFi,Asus,,AM5,,Atx,,,,,,,,,,,,,,,,,,,,,,,,,,$96,5/5,0,In Stock,$270,https://pangoly.com/en/product/asus-rog-strix-x870-a-gaming-wifi,f2b2ca20-ee01-4980-d544-08dcd267c54e,16
GIGABYTE X870 AORUS Elite WIFI7 ICE,Gigabyte,,AM5,,Atx,,,,,,,,,,,,,,,,,,,,,,,,,,$96,5/5,0,In Stock,$280,https://pangoly.com/en/product/gigabyte-x870-aorus-elite-wifi7-ice,d727c348-6e4d-4ed7-d541-08dcd267c54e,16
GIGABYTE X870E AORUS Elite WIFI7,Gigabyte,,AM5,,Atx,,,,,,,,,,,,,,,,,,,,,,,,,,$96,5/5,0,In Stock,$290,https://pangoly.com/en/product/gigabyte-x870e-aorus-elite-wifi7,56b07d2e-7c41-4fea-d542-08dcd267c54e,16
GIGABYTE X870E AORUS PRO ICE,Gigabyte,,AM5,,Atx,,,,,,,,,,,,,,,,,,,,,,,,,,$96,5/5,1,In Stock,$300,https://pangoly.com/en/product/gigabyte-x870e-aorus-pro-ice,0c468b95-1237-4dee-d53d-08dcd267c54e,16
GIGABYTE X870E AORUS PRO,Gigabyte,,AM5,,Atx,,,,,,,,,,,,,,,,,,,,,,,,,,$96,5/5,0,In Stock,$300,https://pangoly.com/en/product/gigabyte-x870e-aorus-pro,e6cb1a87-110b-4c62-d547-08dcd267c54e,16
GIGABYTE X870E AORUS Master,Gigabyte,,AM5,,Atx,,,,,,,,,,,,,,,,,,,,,,,,,,$96,5/5,0,In Stock,$400,https://pangoly.com/en/product/gigabyte-x870e-aorus-master,31f3de7e-dc37-434d-d53e-08dcd267c54e,16
ASUS ROG STRIX X870-I GAMING WIFI,Asus,,AM5,,Mini Itx,,,,,,,,,,,,,,,,,,,,,,,,,,$96,5/5,14,In Stock,$450,https://pangoly.com/en/product/asus-rog-strix-x870-i-gaming-wifi,2ec339cc-00ee-4733-d540-08dcd267c54e,16
