Name,Brand,Model,Type,Size,Kit Configuration,Speed,CAS Latency,Timing,First Word Latency,Voltage,Heat Spreader,ECC Support,Color,Release Date,Price,Rating,Reviews,Availability,List_Price,URL,Product_ID,Page
Kingston Fury Beast 16GB DDR5 6400,Kingston,,DDR5,16GB,,,32,,,,,,,,$79,5/5,0,In Stock,$241,https://pangoly.com/en/product/kingston-fury-beast-16gb-ddr5-6400,c8d547a0-3e8e-4452-61a2-08dccd8f6931,6
Kingston Fury Beast White RGB 32GB (2 x 16GB) D...,Kingston,,DDR5,32GB,,,30,,,,,,,,$138,5/5,28,In Stock,$268,https://pangoly.com/en/product/kingston-fury-beast-white-rgb-32gb-2-x-16gb-ddr5-6000,44218b01-1ed6-4c87-7d4c-08dc7a8f254c,7
Kingston Fury Beast White 64GB (2 x 32GB) DDR5 ...,Kingston,,DDR5,64GB,,,30,,,,,,,,$240,5/5,28,In Stock,$309,https://pangoly.com/en/product/kingston-fury-beast-white-64gb-2-x-32gb-ddr5-6000,d2fb6d00-c70b-44b8-7d4f-08dc7a8f254c,7
Kingston Fury Beast RGB 64GB (2x32GB) DDR5 6400...,Kingston,,DDR5,64GB,2x32gb,,32,,,,,,,,$240,5/5,30,In Stock,$319,https://pangoly.com/en/product/kingston-fury-beast-rgb-64gb-2x32gb-ddr5-6400-amd-expo,df8fb8fe-2aa8-44e7-6192-08dccd8f6931,7
Kingston Fury Beast 64GB (2x32GB) DDR5 6000 AMD...,Kingston,,DDR5,64GB,2x32gb,,30,,,,,,,,$240,5/5,23,In Stock,$319,https://pangoly.com/en/product/kingston-fury-beast-64gb-2x32gb-ddr5-6000-amd-expo,75a42d26-7dde-4167-7d49-08dc7a8f254c,7
Kingston Fury Beast RGB 64GB (2x32GB) DDR5 6000...,Kingston,KF560C30BBEAK2-64,DDR5,64GB,2x32gb,DDR5-6000 MHz,30,30-36-36,10 ns,1.4 V,Yes,No,RGB,"March 2024* First availability for purchase, it may not correspond to the actual market launch date.",$240,5/5,23,In Stock,$334,https://pangoly.com/en/product/kingston-fury-beast-rgb-64gb-2x32gb-ddr5-6000-amd-expo,c3d509ce-0832-438b-7d56-08dc7a8f254c,7
Kingston Fury Beast 32GB DDR5 6400 White AMD Expo,Kingston,,DDR5,32GB,,,32,,,,,,,,$143,5/5,0,In Stock,$339,https://pangoly.com/en/product/kingston-fury-beast-32gb-ddr5-6400-white-amd-expo,46333697-cef7-40bd-61a9-08dccd8f6931,7
Kingston Fury Beast 64GB (2x32GB) DDR5 6400 Whi...,Kingston,,DDR5,64GB,2x32gb,,32,,,,,,,,$240,5/5,30,In Stock,$345,https://pangoly.com/en/product/kingston-fury-beast-64gb-2x32gb-ddr5-6400-white-amd-expo,e3808e2d-be53-449d-61b0-08dccd8f6931,7
Kingston Fury Beast White RGB 32GB DDR5 6000 KF...,Kingston,KF560C30BWEA-32,DDR5,32GB,,DDR5-6000 MHz,30,,10 ns,1.4 V,Yes,No,RGB,"March 2024* First availability for purchase, it may not correspond to the actual market launch date.",$143,5/5,0,In Stock,$348,https://pangoly.com/en/product/kingston-fury-beast-white-rgb-32gb-ddr5-6000-kf560c30bwea-32,208c75cd-3879-4f05-7d69-08dc7a8f254c,7
Kingston Fury Beast 64GB (2x32GB) DDR5 6400 AMD...,Kingston,,DDR5,64GB,2x32gb,,32,,,,,,,,$240,5/5,30,In Stock,$374,https://pangoly.com/en/product/kingston-fury-beast-64gb-2x32gb-ddr5-6400-amd-expo,4d9057c6-ed7a-4dff-61af-08dccd8f6931,7
Kingston Fury Beast RGB 32GB (2x16GB) DDR5 6400,Kingston,,DDR5,32GB,2x16gb,,32,,,,,,,,$138,5/5,0,In Stock,$412,https://pangoly.com/en/product/kingston-fury-beast-rgb-32gb-2x16gb-ddr5-6400,5ebc013a-9974-4214-619b-08dccd8f6931,7
Kingston Fury Beast RGB 64GB (2x32GB) DDR5 6400...,Kingston,,DDR5,64GB,2x32gb,,32,,,,,,,,$240,5/5,30,In Stock,$465,https://pangoly.com/en/product/kingston-fury-beast-rgb-64gb-2x32gb-ddr5-6400-white-amd-expo,85071782-fedc-450f-61a1-08dccd8f6931,7
Kingston Fury Beast White RGB 64GB (2 x 32GB) D...,Kingston,KF560C30BWAK2-64,DDR5,64GB,,DDR5-6000 MHz,30,,10 ns,1.4 V,Yes,No,RGB,"March 2024* First availability for purchase, it may not correspond to the actual market launch date.",$240,5/5,0,In Stock,$828,https://pangoly.com/en/product/kingston-fury-beast-white-rgb-64gb-2-x-32gb-ddr5-6000-kf560c30bwak2-64,a3160e78-0451-4f3e-7d58-08dc7a8f254c,7
Kingston Fury Beast RGB 16GB (2 x 8GB) DDR5 6000,Kingston,,DDR5,16GB,,,30,,,,,,,,$86,5/5,0,Out of Stock,$80,https://pangoly.com/en/product/kingston-fury-beast-rgb-16gb-2-x-8gb-ddr5-6000,d4cad73a-a43e-4228-7d55-08dc7a8f254c,8
Kingston Fury Beast 16GB DDR5 6000 KF560C30BB-16,Kingston,,DDR5,16GB,,,30,,,,,,,,$79,5/5,0,Out of Stock,$86,https://pangoly.com/en/product/kingston-fury-beast-16gb-ddr5-6000-kf560c30bb-16,ea373f99-2a63-4a8a-7d5a-08dc7a8f254c,8
Kingston Fury Beast 32GB (2x16GB) DDR5 6000 KF5...,Kingston,,DDR5,32GB,2x16gb,,30,,,,,,,,$138,5/5,0,Out of Stock,$120,https://pangoly.com/en/product/kingston-fury-beast-32gb-2x16gb-ddr5-6000-kf560c30bbk2-32,248f30da-62ce-463b-7d44-08dc7a8f254c,8
Kingston Fury Beast RGB 32GB (2 x 16GB) DDR5 6000,Kingston,,DDR5,32GB,,,30,,,,,,,,$138,5/5,0,Out of Stock,$128,https://pangoly.com/en/product/kingston-fury-beast-rgb-32gb-2-x-16gb-ddr5-6000,89934513-cfe9-4d18-7d5c-08dc7a8f254c,8
Kingston Fury Beast 32GB (2x16GB) DDR5 6000 AMD...,Kingston,,DDR5,32GB,2x16gb,,30,,,,,,,,$138,5/5,23,Out of Stock,$140,https://pangoly.com/en/product/kingston-fury-beast-32gb-2x16gb-ddr5-6000-amd-expo,64402cb7-f8b3-4aff-7d47-08dc7a8f254c,8
Kingston Fury Beast White 32GB (2 x 16GB) DDR5 ...,Kingston,,DDR5,32GB,,,30,,,,,,,,$138,5/5,24,Out of Stock,$157,https://pangoly.com/en/product/kingston-fury-beast-white-32gb-2-x-16gb-ddr5-6000,b9d5cc94-291a-4d3c-7d48-08dc7a8f254c,8
Kingston FURY Beast 64GB (2x32GB) DDR5 6400,Kingston,,DDR5,64GB,2x32gb,,32,,,,,,,,$240,5/5,0,Out of Stock,$257,https://pangoly.com/en/product/kingston-fury-beast-64gb-2x32gb-ddr5-6400,4976b347-c3ed-4abf-61ae-08dccd8f6931,8
Kingston Fury Beast 64GB (2 x 32GB) DDR5 6000 K...,Kingston,,DDR5,64GB,,,30,,,,,,,,$240,5/5,0,Out of Stock,$273,https://pangoly.com/en/product/kingston-fury-beast-64gb-2-x-32gb-ddr5-6000-kf560c30bbk2-64,f5f432e6-7045-4da9-7d52-08dc7a8f254c,8
Kingston Fury Beast White RGB 64GB (2 x 32GB) D...,Kingston,,DDR5,64GB,,,30,,,,,,,,$240,5/5,25,Out of Stock,$310,https://pangoly.com/en/product/kingston-fury-beast-white-rgb-64gb-2-x-32gb-ddr5-6000,e668e51f-e33a-4c07-7d4d-08dc7a8f254c,8
Kingston Fury Beast RGB DDR5 16GB 6400 White,Kingston,,DDR5,16GB,,,32,,,,,,,,$79,5/5,0,Availability not specified,Price not found,https://pangoly.com/en/product/kingston-fury-beast-rgb-ddr5-16gb-6400-white,80d7f7f0-aa60-482f-6196-08dccd8f6931,8
Kingston Fury Beast RGB DDR5 16GB 6400,Kingston,,DDR5,16GB,,,32,,,,,,,,$79,5/5,0,Availability not specified,Price not found,https://pangoly.com/en/product/kingston-fury-beast-rgb-ddr5-16gb-6400,49cec093-ba06-4279-6193-08dccd8f6931,8
Kingston Fury Beast RGB 32GB DDR5 6400 White,Kingston,,DDR5,32GB,,,32,,,,,,,,$143,5/5,0,Availability not specified,Price not found,https://pangoly.com/en/product/kingston-fury-beast-rgb-32gb-ddr5-6400-white,7d8702f0-3a06-400b-6198-08dccd8f6931,8
Kingston Fury Beast RGB 32GB (2x16GB) DDR5 6400...,Kingston,,DDR5,32GB,,,32,,,,,,,,$138,5/5,0,Availability not specified,Price not found,https://pangoly.com/en/product/kingston-fury-beast-rgb-32gb-2x16gb-ddr5-6400-white,ccce2be8-adfe-4252-619c-08dccd8f6931,9
Kingston Fury Beast RGB DDR5 32GB 6400 White,Kingston,,DDR5,32GB,,,32,,,,,,,,$143,5/5,0,Availability not specified,Price not found,https://pangoly.com/en/product/kingston-fury-beast-rgb-ddr5-32gb-6400-white,1ae53198-2b9d-4133-619a-08dccd8f6931,9
Kingston Fury Beast RGB 32GB DDR5 6400,Kingston,,DDR5,32GB,,,32,,,,,,,,$143,5/5,0,Availability not specified,Price not found,https://pangoly.com/en/product/kingston-fury-beast-rgb-32gb-ddr5-6400,b5b63faf-2b75-42ec-6197-08dccd8f6931,9
Kingston Fury Beast RGB 8GB DDR5 6000 KF560C30B...,Kingston,,DDR5,8GB,,,30,,,,,,,,$43,5/5,0,Availability not specified,Price not found,https://pangoly.com/en/product/kingston-fury-beast-rgb-8gb-ddr5-6000-kf560c30bba-8,0e69de7c-f5b2-424c-7d61-08dc7a8f254c,9
Kingston Fury Beast Black 16GB (2 x 8GB) DDR5 6000,Kingston,,DDR5,16GB,,,30,,,,,,,,$86,5/5,0,Availability not specified,Price not found,https://pangoly.com/en/product/kingston-fury-beast-black-16gb-2-x-8gb-ddr5-6000,34b49e5e-5b6c-47ad-7d4a-08dc7a8f254c,9
Kingston Fury Beast 16GB DDR5 6400 White,Kingston,,DDR5,16GB,,,32,,,,,,,,$79,5/5,0,Availability not specified,Price not found,https://pangoly.com/en/product/kingston-fury-beast-16gb-ddr5-6400-white,cf49347f-831d-4dbe-61a3-08dccd8f6931,9
Kingston Fury Beast 16GB DDR5 6000,Kingston,KF560C30BW-16,DDR5,16GB,,DDR5-6000 MHz,30,,10 ns,1.4 V,Yes,No,,"March 2024* First availability for purchase, it may not correspond to the actual market launch date.",$79,5/5,0,Availability not specified,Price not found,https://pangoly.com/en/product/kingston-fury-beast-16gb-ddr5-6000,c8f0434a-ce1d-4a48-7d4e-08dc7a8f254c,9
Kingston Fury Beast 32GB DDR5 6400 White,Kingston,,DDR5,32GB,,,32,,,,,,,,$143,5/5,0,Availability not specified,Price not found,https://pangoly.com/en/product/kingston-fury-beast-32gb-ddr5-6400-white,8c663e72-efae-46a2-61a7-08dccd8f6931,9
Kingston Fury Beast White RGB 16GB DDR5 6000 KF...,Kingston,KF560C30BWEA-16,DDR5,16GB,,DDR5-6000 MHz,30,,10 ns,1.4 V,Yes,No,RGB,"March 2024* First availability for purchase, it may not correspond to the actual market launch date.",$79,5/5,0,Availability not specified,Price not found,https://pangoly.com/en/product/kingston-fury-beast-white-rgb-16gb-ddr5-6000-kf560c30bwea-16,74a01967-7000-4830-7d64-08dc7a8f254c,9
Kingston Fury Beast 32GB DDR5 6400 AMD Expo,Kingston,,DDR5,32GB,,,32,,,,,,,,$143,5/5,0,Availability not specified,Price not found,https://pangoly.com/en/product/kingston-fury-beast-32gb-ddr5-6400-amd-expo,8404b9b4-53f0-45cd-61a8-08dccd8f6931,9
Kingston Fury Beast White RGB 32GB DDR5 6000 KF...,Kingston,,DDR5,32GB,,,30,,,,,,,,$143,5/5,0,Availability not specified,Price not found,https://pangoly.com/en/product/kingston-fury-beast-white-rgb-32gb-ddr5-6000-kf560c30bwa-32,af43cb25-c608-4db8-7d60-08dc7a8f254c,9
Kingston Fury Beast White 32GB DDR5 6000 KF560C...,Kingston,,DDR5,32GB,,,30,,,,,,,,$143,5/5,0,Availability not specified,Price not found,https://pangoly.com/en/product/kingston-fury-beast-white-32gb-ddr5-6000-kf560c30bw-32,6eefdc83-706d-42f4-7d63-08dc7a8f254c,9
Kingston Fury Beast 32GB DDR5 6400,Kingston,,DDR5,32GB,,,32,,,,,,,,$143,5/5,0,Availability not specified,Price not found,https://pangoly.com/en/product/kingston-fury-beast-32gb-ddr5-6400,bddad51e-6df0-4232-61a6-08dccd8f6931,10
Kingston Fury Beast RGB 64GB (2x32GB) DDR5 6400...,Kingston,,DDR5,64GB,2x32gb,,32,,,,,,,,$240,5/5,0,Availability not specified,Price not found,https://pangoly.com/en/product/kingston-fury-beast-rgb-64gb-2x32gb-ddr5-6400-white,7c6dd344-95f4-4e0d-61a0-08dccd8f6931,10
Kingston Fury Beast RGB DDR5 32GB 6000,Kingston,KF560C30BBA-32,DDR5,32GB,,DDR5-6000 MHz,30,,10 ns,1.4 V,Yes,No,RGB,"March 2024* First availability for purchase, it may not correspond to the actual market launch date.",$143,5/5,0,Availability not specified,Price not found,https://pangoly.com/en/product/kingston-fury-beast-rgb-ddr5-32gb-6000,c3e03c5f-537d-4d20-7d6b-08dc7a8f254c,10
Kingston Fury Beast White RGB 32GB (2 x 16GB) D...,Kingston,KF560C30BWAK2-32,DDR5,32GB,,DDR5-6000 MHz,30,,10 ns,1.4 V,Yes,No,RGB,"March 2024* First availability for purchase, it may not correspond to the actual market launch date.",$138,5/5,0,Availability not specified,Price not found,https://pangoly.com/en/product/kingston-fury-beast-white-rgb-32gb-2-x-16gb-ddr5-6000-kf560c30bwak2-32,f01d3432-b3ef-423d-7d67-08dc7a8f254c,10
Kingston Fury Beast White 32GB DDR5 6000,Kingston,KF560C30BWE-32,DDR5,32GB,,DDR5-6000 MHz,30,,10 ns,1.4 V,Yes,No,,"March 2024* First availability for purchase, it may not correspond to the actual market launch date.",$143,5/5,0,Availability not specified,Price not found,https://pangoly.com/en/product/kingston-fury-beast-white-32gb-ddr5-6000,da65df1d-cc3c-4923-7d5e-08dc7a8f254c,10
Kingston Fury Beast RGB 64GB (2 x 32GB) DDR5 60...,Kingston,,DDR5,64GB,,,30,,,,,,,,$240,5/5,0,Availability not specified,Price not found,https://pangoly.com/en/product/kingston-fury-beast-rgb-64gb-2-x-32gb-ddr5-6000-kf560c30bbak2-64,503bbe7f-2398-4944-7d57-08dc7a8f254c,10
Kingston Fury Beast 32GB (2x16GB) DDR5 6400 White,Kingston,,DDR5,32GB,2x16gb,,32,,,,,,,,$138,5/5,0,Availability not specified,Price not found,https://pangoly.com/en/product/kingston-fury-beast-32gb-2x16gb-ddr5-6400-white,85354565-dd09-4522-61ab-08dccd8f6931,10
Kingston Fury Beast 32GB (2x16GB) DDR5 6400,Kingston,,DDR5,32GB,2x16gb,,32,,,,,,,,$138,5/5,0,Availability not specified,Price not found,https://pangoly.com/en/product/kingston-fury-beast-32gb-2x16gb-ddr5-6400,6a79c911-bcb1-4004-61aa-08dccd8f6931,10
Kingston Fury Beast White 32GB (2 x 16GB) DDR5 ...,Kingston,,DDR5,32GB,,,30,,,,,,,,$138,5/5,0,Availability not specified,Price not found,https://pangoly.com/en/product/kingston-fury-beast-white-32gb-2-x-16gb-ddr5-6000-kf560c30bwk2-32,c7579e88-8a5c-43c6-7d4b-08dc7a8f254c,10
Kingston Fury Beast White 64GB (2 x 32GB) DDR5 ...,Kingston,,DDR5,64GB,,,30,,,,,,,,$240,5/5,0,Availability not specified,Price not found,https://pangoly.com/en/product/kingston-fury-beast-white-64gb-2-x-32gb-ddr5-6000-kf560c30bwk2-64,5e220f39-ff78-43b9-7d5b-08dc7a8f254c,10
Kingston Fury Beast RGB 64GB (2x32GB) DDR5 6400,Kingston,,DDR5,64GB,2x32gb,,32,,,,,,,,$240,5/5,0,Availability not specified,Price not found,https://pangoly.com/en/product/kingston-fury-beast-rgb-64gb-2x32gb-ddr5-6400,e676418c-a4ff-4442-619f-08dccd8f6931,10
Crucial Pro Overclocking Edition 16 GB DDR5 600...,Crucial,CP16G60C36U5B,DDR5,16GB (1 x 16GB),,DDR6000 MHz,36,36-38-38-80,12 ns,1.35 V,Yes,No,,"March 2024* First availability for purchase, it may not correspond to the actual market launch date.",$79,5/5,0,In Stock,$93,https://pangoly.com/en/product/crucial-pro-overclocking-edition-16-gb-ddr5-6000mhz,24a93c51-2c98-40b0-b3e2-08dc5ee35005,10
CORSAIR Dominator Titanium RGB 96GB (4x24GB) DD...,Corsair,,DDR5,96GB,4x24gb,DDR6400 MHz,32,,,,,,,,$458,5/5,1,In Stock,$500,https://pangoly.com/en/product/corsair-dominator-titanium-rgb-96gb-4x24gb-ddr5-6400mhz,eb9abccb-2c22-4c9e-c4c6-08dd6ba34a3d,11
CORSAIR Vengeance RGB 96GB (4x24GB) DDR5 6400MHz,Corsair,,DDR5,96GB,4x24gb,DDR6400 MHz,32,,,,,,,,$458,5/5,0,In Stock,$536,https://pangoly.com/en/product/corsair-vengeance-rgb-96gb-4x24gb-ddr5-6400mhz,a40078d8-93af-433c-276a-08dd30aa018b,11
TEAMGROUP T-Force Xtreem 48GB (2x24GB) DDR5 820...,,,DDR5,48GB,2x24gb,DDR8200 MHz,38,,,,,,,,$280,5/5,1,In Stock,$320,https://pangoly.com/en/product/teamgroup-t-force-xtreem-48gb-2x24gb-ddr5-8200mhz,2412ef5e-1267-4b56-4de8-08dc4d0f8622,11
Crucial Pro Overclocking 32GB (2x16GB) DDR5 600...,Crucial,CP2K16G60C36U5B,DDR5,32GB,2x16gb,DDR6000 MHz,36,36-38-38-80,12 ns,1.35 V,Yes,No,Black,"February 2024* First availability for purchase, it may not correspond to the actual market launch date.",$119,5/5,40,In Stock,$122,https://pangoly.com/en/product/crucial-pro-overclocking-32gb-2x16gb-ddr5-6000mhz,ded22261-76a6-489a-b3e1-08dc5ee35005,11
Kingston Fury Renegade Pro 32GB DDR5 6800 ECC Reg,Kingston,KF568R34RB2-32,DDR5,32GB,,DDR5-6800 MHz,34,34-44-44,10 ns,1.4 V,No,Yes,,"February 2024* First availability for purchase, it may not correspond to the actual market launch date.",$263,5/5,5,In Stock,$423,https://pangoly.com/en/product/kingston-fury-renegade-pro-32gb-ddr5-6800-ecc-reg,e1d70782-e946-4e89-fd8d-08dc8545b415,11
Kingston Fury Renegade Pro 128GB (4 x 32GB) DDR...,Kingston,,DDR5,128GB,,,34,,,,,,,,$1005,5/5,6,In Stock,$1199,https://pangoly.com/en/product/kingston-fury-renegade-pro-128gb-4-x-32gb-ddr5-6800-ecc-reg,8a62a423-814c-43d4-fd86-08dc8545b415,11
Kingston Fury Renegade Pro 256GB (8 x 32GB) DDR...,Kingston,,DDR5,256GB,,,28,,,,,,,,$2102,5/5,0,In Stock,$1895,https://pangoly.com/en/product/kingston-fury-renegade-pro-256gb-8-x-32gb-ddr5-5600-expo-ecc-reg,3869aeb2-7991-45a8-fdad-08dc8545b415,11
Kingston Fury Renegade Pro 256GB (8 x 32GB) DDR...,Kingston,,DDR5,256GB,,,32,,,,,,,,$1895,5/5,0,In Stock,$2095,https://pangoly.com/en/product/kingston-fury-renegade-pro-256gb-8-x-32gb-ddr5-6400-ecc-reg,b810fe8a-110c-4e6b-fda3-08dc8545b415,11
Kingston Fury Renegade Pro 256GB (8 x 32GB) DDR...,Kingston,,DDR5,256GB,,,34,,,,,,,,$1895,5/5,0,In Stock,$2270,https://pangoly.com/en/product/kingston-fury-renegade-pro-256gb-8-x-32gb-ddr5-6800-ecc-reg,2238dac5-1af5-4ae1-fd85-08dc8545b415,11
Kingston Fury Renegade Pro 32GB DDR5 5600 Expo ...,Kingston,,DDR5,32GB,,,28,,,,,,,,$263,5/5,5,Out of Stock,$222,https://pangoly.com/en/product/kingston-fury-renegade-pro-32gb-ddr5-5600-expo-ecc-reg,45b1582e-75a7-42ab-fd8a-08dc8545b415,11
Kingston Fury Renegade Pro Expo 32GB DDR5 6400 ...,Kingston,,DDR5,32GB,,,32,,,,,,,,$263,5/5,5,Out of Stock,$235,https://pangoly.com/en/product/kingston-fury-renegade-pro-expo-32gb-ddr5-6400-ecc-reg,d6278366-0bbd-4eb0-fda7-08dc8545b415,11
Kingston Fury Renegade Pro 128GB (4 x 32GB) DDR...,Kingston,,DDR5,128GB,,,28,,,,,,,,$1005,5/5,0,Out of Stock,$786,https://pangoly.com/en/product/kingston-fury-renegade-pro-128gb-4-x-32gb-ddr5-5600-ecc-reg,6d010544-9552-4cfe-fd87-08dc8545b415,11
Kingston Fury Renegade Pro 128GB (4 x 32GB) DDR...,Kingston,,DDR5,128GB,,,32,,,,,,,,$1005,5/5,1,Out of Stock,$920,https://pangoly.com/en/product/kingston-fury-renegade-pro-128gb-4-x-32gb-ddr5-6400-expo-ecc-reg,6b53838a-29ae-437a-fd9e-08dc8545b415,12
Kingston Fury Renegade Pro 256GB (8 x 32GB) DDR...,Kingston,,DDR5,256GB,,,32,,,,,,,,$1886,5/5,0,Out of Stock,$1599,https://pangoly.com/en/product/kingston-fury-renegade-pro-256gb-8-x-32gb-ddr5-6000-expo-ecc-reg,c9c7cab3-0929-4547-fd93-08dc8545b415,12
Kingston Fury Renegade Pro 256GB (8 x 32GB) DDR...,Kingston,,DDR5,256GB,,,32,,,,,,,,$1895,5/5,0,Out of Stock,$1889,https://pangoly.com/en/product/kingston-fury-renegade-pro-256gb-8-x-32gb-ddr5-6400-expo-ecc-reg,a098c9a5-df8d-43fb-fd94-08dc8545b415,12
Kingston Fury Renegade Pro 128GB (8 x 16GB) DDR...,Kingston,,DDR5,128GB,,,32,,,,,,,,$998,5/5,0,Out of Stock,$2294,https://pangoly.com/en/product/kingston-fury-renegade-pro-128gb-8-x-16gb-ddr5-6000-expo-ecc-reg,68f55494-a6b2-431a-fda0-08dc8545b415,12
Kingston Fury Renegade Pro 128GB (8 x 16GB) DDR...,Kingston,,DDR5,128GB,,,28,,,,,,,,$1094,5/5,0,Out of Stock,$3031,https://pangoly.com/en/product/kingston-fury-renegade-pro-128gb-8-x-16gb-ddr5-5600-expo-ecc-reg,92276048-59cb-4196-fda9-08dc8545b415,12
Kingston Fury Renegade Pro 128GB (8 x 16GB) DDR...,Kingston,,DDR5,128GB,,,32,,,,,,,,$1094,5/5,0,Availability not specified,Price not found,https://pangoly.com/en/product/kingston-fury-renegade-pro-128gb-8-x-16gb-ddr5-6400-expo-ecc-reg,1cef4b17-256e-4acc-fdb1-08dc8545b415,12
Kingston Fury Renegade Pro 128GB (8 x 16GB) DDR...,Kingston,,DDR5,128GB,,,34,,,,,,,,$1094,5/5,0,Availability not specified,Price not found,https://pangoly.com/en/product/kingston-fury-renegade-pro-128gb-8-x-16gb-ddr5-6800-ecc-reg,78278818-e19d-445a-fd97-08dc8545b415,12
ADATA XPG LANCER RGB 48GB (2x24GB) DDR5 7200,Adata,AX5U7200C3424G-DCLARBK,DDR5,48GB,2x24gb,DDR5-7200 MHz,34,,9.44 ns,1.4 V,Yes,No,RGB,"January 2024* First availability for purchase, it may not correspond to the actual market launch date.",$250,5/5,0,In Stock,$234,https://pangoly.com/en/product/adata-xpg-lancer-rgb-48gb-2x24gb-ddr5-7200,b0ed386f-8e2e-4c21-aca4-08ddb48bbd3f,12
TEAMGROUP T-Create Expert Overclocking 10L 96GB...,,,DDR5,96GB,,DDR6400 MHz,32,,,,,,,,$340,5/5,0,Out of Stock,$270,https://pangoly.com/en/product/teamgroup-t-create-expert-overclocking-10l-96gb-2-x-48gb-ddr5-6400mhz,df40b0a5-d242-4f59-d581-08dcd267c54e,12
CORSAIR Vengeance 64GB (2x32GB) DDR5 6000MHz CL38,Corsair,CMK64GX5M2B6000C38,DDR5,64GB,2x32gb,DDR6000 MHz,38,38-44-44-96,12.66 ns,1.35 V,Yes,No,,"December 2023* First availability for purchase, it may not correspond to the actual market launch date.",$205,5/5,0,In Stock,$260,https://pangoly.com/en/product/corsair-vengeance-64gb-2x32gb-ddr5-6000mhz-cl38,fead66f5-947e-4211-c4d2-08dd6ba34a3d,12
CORSAIR Vengeance RGB 64GB (2x32GB) DDR5 6000MH...,Corsair,CMH64GX5M2B6000C38,DDR5,64GB,2x32gb,DDR6000 MHz,38,38-44-44-96,12.66 ns,1.35 V,Yes,No,RGB,"December 2023* First availability for purchase, it may not correspond to the actual market launch date.",$205,5/5,0,In Stock,$292,https://pangoly.com/en/product/corsair-vengeance-rgb-64gb-2x32gb-ddr5-6000mhz-cl38,6c197b37-4e7c-4e83-5339-08dd46d51e7b,12
CORSAIR Vengeance RGB 64GB (2x32GB) DDR5 6400MH...,Corsair,CMH64GX5M2B6400C32W,DDR5,64GB,2x32gb,DDR6400 MHz,32,32-40-40-84,10 ns,1.4 V,Yes,No,RGB,"December 2023* First availability for purchase, it may not correspond to the actual market launch date.",$240,5/5,1,In Stock,$455,https://pangoly.com/en/product/corsair-vengeance-rgb-64gb-2x32gb-ddr5-6400mhz-white,4c3e758f-decf-43ce-5337-08dd46d51e7b,12
Lexar ARES RGB 32GB (2x16GB) DDR5 7200,,,DDR5,32GB,2x16gb,,34,,,,,,,,$173,5/5,0,Availability not specified,Price not found,https://pangoly.com/en/product/lexar-ares-rgb-32gb-2x16gb-ddr5-7200,11cc8fab-7626-4589-a53d-08dc28919938,13
Kingston Fury Renegade Pro 64GB (4 x 16GB) ECC ...,Kingston,,DDR5,64GB,,,,,,,,,,,$436,5/5,0,In Stock,$563,https://pangoly.com/en/product/kingston-fury-renegade-pro-64gb-4-x-16gb-ecc-registered-ddr5-6000,caf6ea21-e394-4c69-ec00-08dbf1a4aa62,13
Kingston Fury Renegade Pro 64GB (4 x 16GB) ECC ...,Kingston,,DDR5,64GB,,,,,,,,,,,$466,5/5,0,In Stock,$645,https://pangoly.com/en/product/kingston-fury-renegade-pro-64gb-4-x-16gb-ecc-registered-ddr5-6400,41d277af-c696-4a64-ebff-08dbf1a4aa62,13
Kingston 16GB ECC Registered DDR5 6400,Kingston,,DDR5,16GB,,,,,,,,,,,$146,5/5,0,Out of Stock,$155,https://pangoly.com/en/product/kingston-16gb-ecc-registered-ddr5-6400,f692ad1a-ba88-4eda-ec03-08dbf1a4aa62,13
Kingston Fury Renegade Pro 32GB ECC Registered ...,Kingston,KF560R32RBE-32,DDR5,32GB,,DDR5-6000 MHz,32,32-38-38,10.67 ns,1.35 V,Yes,Yes,,"November 2023* First availability for purchase, it may not correspond to the actual market launch date.",$263,5/5,0,Out of Stock,$238,https://pangoly.com/en/product/kingston-fury-renegade-pro-32gb-ecc-registered-ddr5-6000,c85775b3-daf5-4b28-ec01-08dbf1a4aa62,13
G.SKILL Zeta R5 Neo 64GB (4 x 16GB) ECC Registe...,G.Skill,F5-6400R3239G16GQ4-ZR5NK,DDR5,64GB,,DDR5-6400 MHz,32,32-39-39,10 ns,1.4 V,Yes,Yes,,"November 2023* First availability for purchase, it may not correspond to the actual market launch date.",$466,5/5,0,Out of Stock,$509,https://pangoly.com/en/product/g-skill-zeta-r5-neo-64gb-4-x-16gb-ecc-registered-ddr5-6400,5ba05306-2037-4179-ec10-08dbf1a4aa62,13
G.SKILL Zeta R5 Neo 128GB (4 x 32GB) ECC Regist...,G.Skill,F5-6400R3239G32GQ4-ZR5NK,DDR5,128GB,,DDR5-6400 MHz,32,32-39-39,10 ns,1.4 V,Yes,Yes,,"November 2023* First availability for purchase, it may not correspond to the actual market launch date.",$1005,5/5,0,Out of Stock,$870,https://pangoly.com/en/product/g-skill-zeta-r5-neo-128gb-4-x-32gb-ecc-registered-ddr5-6400,d5f23254-6a73-49f9-ec0f-08dbf1a4aa62,13
Kingston Fury Renegade Pro 16GB DDR5 6400 ECC R...,Kingston,,DDR5,16GB,,,32,,,,,,,,$96,5/5,0,In Stock,$146,https://pangoly.com/en/product/kingston-fury-renegade-pro-16gb-ddr5-6400-ecc-registered,d3704a9a-5054-4895-a549-08dc28919938,13
